word,best_response,shown,meaning,,,
RANCOR,Bitterness or resentfulness especially when long-standing,FALSE,I have no rancor against anyone.,,,
UNTOWARD,Unexpected and inappropriate or inconvenient,FALSE,We are prepared for any untoward incident.,,,
LOQUACIOUS,Tending to talk a great deal; talkative,FALSE,I am not loquacious but I can express myself clearly.,,,
TURGID,Swollen and distended; bombastic and pompous,FALSE,The turgid prose of the book made it difficult to read.,,,
URBANE,Courteous and refined in manner,FALSE,He is an urbane and sophisticated gentleman.,,,
DEBATE,A formal discussion on a particular topic in a public meeting,FALSE,A healthy debate can lead to better ideas and solutions.,,,
VALOR,Great courage in the face of danger especially in battle,FALSE,The valor of our soldiers is an inspiration for all of us.,,,
IGNORANCE,Lack of knowledge or information,FALSE,Ignorance can be removed by seeking knowledge.,,,
MISCREANT,A person who behaves badly or in a way that breaks the law,FALSE,A miscreant should be punished as per the law.,,,
SALIENT,Most noticeable or important,FALSE,The salient features of the plan were explained to all.,,,
TENUOUS,Very weak or slight,FALSE,His hold on power was very tenuous.,,,
HUMBLE,Having or showing a modest or low estimate of one's own importance,FALSE,I remain humble despite my achievements.,,,
LENIENT,More merciful or tolerant than expected,FALSE,A leader should not be too lenient with his subordinates.,,,
ARTILLERY,Large-caliber guns used in warfare on land,FALSE,Artillery provides crucial support in battle.,,,
INTERCEPT,To obstruct someone or something so as to prevent them from continuing to a destination,FALSE,We can intercept the enemy's communication.,,,
UNRUFFLED,Not disordered or disarranged; calm,FALSE,I remained unruffled by his provocative remarks.,,,
SCURRILOUS,Making or spreading scandalous claims about someone with the intention of damaging their reputation,FALSE,I will not tolerate any scurrilous attack on my character.,,,
RISE,To get up from lying sitting or kneeling,FALSE,I rise to the occasion whenever challenged.,,,
RESCIND,To revoke cancel or repeal a law or agreement,FALSE,The management decided to rescind the suspension order.,,,
CORROBORATE,To confirm or give support to a statement theory or finding,FALSE,I look for corroborating evidence before reaching a conclusion.,,,
FORBEARANCE,Patient self-control; restraint and tolerance,FALSE,I practice forbearance and self-control.,,,
GENUINE,Truly what something is said to be; authentic,FALSE,I have a genuine passion for the outdoors and adventure.,,,
VERY,In a high degree; extremely,FALSE,I am very passionate about joining the armed forces.,,,
SERVILE,Having or showing an excessive willingness to serve or please others,FALSE,I am not servile to anyone.,,,
CLARITY,The quality of being coherent and intelligible,FALSE,I think with clarity even in confusing situations.,,,
PHILISTINE,A person who is hostile or indifferent to culture and the arts,FALSE,A philistine has no appreciation for art and culture.,,,
VIRULENT,Extremely severe or harmful in its effects,FALSE,The virulent strain of the virus was very deadly.,,,
REPROBATE,An unprincipled person,FALSE,He was a reprobate who had no respect for law.,,,
DISPUTE,A disagreement argument or debate,FALSE,I resolve disputes amicably and fairly.,,,
DIRECT,Extending or moving from one place to another by the shortest way without changing direction,FALSE,I give clear and direct orders to my subordinates.,,,
SHARE,A part or portion of a larger amount which is divided among a number of people,FALSE,I share my knowledge and experience with my teammates.,,,
SIDE,A position to the left or right of an object,FALSE,I always take the side of what is right.,,,
LUSTROUS,Having luster; shining,FALSE,I want to have a lustrous career in the armed forces.,,,
INADEQUATE,Lacking the quality or quantity required; insufficient for a purpose,FALSE,I overcome feelings of inadequacy with more preparation.,,,
UNASSUMING,Not pretentious or arrogant; modest,FALSE,He is a great scholar but very unassuming.,,,
WALK,To move at a regular pace by lifting and setting down each foot in turn,FALSE,I walk for miles to keep my stamina and endurance high.,,,
CONTRIBUTE,To give in order to help achieve or provide something,FALSE,I contribute positively to my team's objectives.,,,
PRECIPITATE,To cause an event to happen suddenly or prematurely,FALSE,I do not take a precipitate action.,,,
DESIGNATE,To officially assign a specified status or name to,FALSE,I carry out the tasks designated to me with sincerity.,,,
PLAUDIT,Praise,FALSE,I do not crave for plaudits and public recognition.,,,
NOMINAL,Existing in name only; very small,FALSE,My contribution may be nominal but it is sincere.,,,
ASSERTIVE,Having or showing a confident and forceful personality,FALSE,I am assertive in putting forth my views.,,,
INERTIA,A tendency to do nothing or to remain unchanged,FALSE,I overcome inertia with a strong will.,,,
ULTIMATE,Being or happening at the end of a process; final,FALSE,My ultimate goal is to serve my country.,,,
EXCAVATE,To make a hole or channel by digging,FALSE,We can excavate the truth by a thorough investigation.,,,
PROFANE,Not respectful of orthodox religious practice; irreverent,FALSE,I do not use profane language.,,,
HAPPEN,To take place; occur,FALSE,I make things happen through my hard work and perseverance.,,,
ONLY,And no one or nothing more besides,FALSE,My only aim is to serve my nation.,,,
ALONE,Having no one else present; on one's own,FALSE,I use time alone for important self-reflection and improvement.,,,
LACKADAISICAL,Lacking enthusiasm and determination; carelessly lazy,FALSE,I am never lackadaisical in my approach to work.,,,
FORGIVE,To stop feeling angry or resentful toward someone for an offense,FALSE,I forgive others for their mistakes and move on.,,,
ASSESS,To evaluate or estimate the nature ability or quality of,FALSE,I assess the situation carefully before taking any action.,,,
TOOK,Past tense of take,FALSE,I took the challenge head-on and succeeded.,,,
FEAR,An unpleasant emotion caused by threat of danger,FALSE,I conquer fear by taking decisive and well-planned actions.,,,
DEPRIVE,To deny a person or place the possession or use of something,FALSE,I never deprive anyone of their due rights.,,,
PERPLEX,To cause someone to feel completely baffled,FALSE,I am not easily perplexed by a complex problem.,,,
VICTIM,A person harmed injured or killed as a result of a crime or accident,FALSE,I am a victor not a victim of circumstances.,,,
UNSAVORY,Disagreeable to taste smell or look at,FALSE,He has an unsavory reputation in the city.,,,
PROJECT,An individual or collaborative enterprise that is carefully planned,FALSE,I plan and execute projects in a systematic manner.,,,
IMPART,To make information known; communicate,FALSE,I want to impart my knowledge and skills to others.,,,
INSINUATE,To suggest or hint something bad in an indirect and unpleasant way,FALSE,I state my point clearly rather than insinuating.,,,
RAUCOUS,Making or constituting a disturbingly harsh and loud noise,FALSE,I was disturbed by the raucous laughter of the crowd.,,,
HAMPER,To hinder or impede the movement or progress of,FALSE,I do not let minor issues hamper my progress.,,,
MOLLIFY,To appease the anger or anxiety of someone,FALSE,I can mollify an angry person with my calm words.,,,
PERVERSE,Showing a deliberate desire to behave in a way that is unreasonable or unacceptable,FALSE,His perverse logic was difficult to understand.,,,
BOMB,An explosive weapon that is used to kill or injure people or to damage property,FALSE,Bomb disposal squads show courage in defusing explosives.,,,
IRRESPECTIVE,Not taking something into account; regardless of,FALSE,I treat everyone equally irrespective of their background.,,,
RICH,Having a great deal of money or assets,FALSE,I am rich in values and principles.,,,
MITIGATE,To make less severe serious or painful,FALSE,I can take steps to mitigate the risks in a mission.,,,
COMPLEX,Consisting of many different and connected parts,FALSE,I can understand and solve complex technical problems.,,,
TRIBULATION,A cause of great trouble or suffering,FALSE,I am ready to face the trials and tribulations of life.,,,
ENNOBLE,To give someone a noble rank or title; lend dignity to,FALSE,Serving the nation ennobles the soul.,,,
DISPERSE,To distribute or spread over a wide area,FALSE,I can disperse a crowd using minimum force.,,,
LISTEN,To give one's attention to a sound,FALSE,I listen attentively to understand others' perspectives.,,,
FRATERNITY,A group of people sharing a common profession or interests; brotherhood,FALSE,I believe in the universal fraternity of all human beings.,,,
SYSTEMATIC,Done or acting according to a fixed plan or system,FALSE,I follow a systematic process to ensure nothing is missed.,,,
EASY,Achieved without great effort; presenting no difficulty,FALSE,Consistent practice makes difficult tasks seem much easier.,,,
HUMILIATE,To make someone feel ashamed and foolish by injuring their dignity,FALSE,I never humiliate anyone as I believe in mutual respect.,,,
COMPROMISE,An agreement reached by each party making concessions,FALSE,I never compromise on my core principles and values.,,,
JUNCTURE,A particular point in events or time,FALSE,I can take a correct decision at a critical juncture.,,,
RECUPERATE,To recover from illness or exertion,FALSE,I will recuperate quickly from my illness.,,,
SHOULD,Used to indicate obligation duty or correctness,FALSE,I should always lead from the front.,,,
EXCEED,To be greater in number or size than a number or other amount,FALSE,I strive to exceed the expectations of my superiors.,,,
POLEMIC,A strong verbal or written attack on someone or something,FALSE,I avoid getting into a polemic debate.,,,
