word,best_response,shown,meaning,,,,
HORRIFY,The sight of the accident horrified the onlookers,FALSE,To fill with horror; shock greatly,,,,
MISUSE,He was accused of misusing his official position,FALSE,To use something in the wrong way or for the wrong purpose,,,,
METHOD,A systematic method ensures tasks are completed efficiently,FALSE,A particular form of procedure for accomplishing or approaching something,,,,
SLAUGHTER,I value life and am against the senseless slaughter of innocents,FALSE,The killing of a large number of people or animals in a cruel or violent way,,,,
PIRACY,The navy is taking action to curb piracy on the high seas,FALSE,The practice of attacking and robbing ships at sea,,,,
SOFT,A soft-spoken person can be firm in his decisions,FALSE,Easy to mold cut compress or fold; not hard or firm to the touch,,,,
HOPE,I remain hopeful and optimistic even in difficult times,FALSE,A feeling of expectation and desire for a certain thing to happen,,,,
TACITURN,He was a taciturn person who rarely spoke,FALSE,Reserved or uncommunicative in speech,,,,
SNEER,He sneered at my humble clothes,FALSE,To smile or speak in a contemptuous or mocking manner,,,,
PAUSE,A short pause can help in rethinking and better planning,FALSE,A temporary stop in action or speech,,,,
RISK,I take calculated risks to achieve greater objectives,FALSE,A situation involving exposure to danger,,,,
WEEP,I am strong enough not to weep over small matters,FALSE,To shed tears,,,,
COMPOSE,I compose myself during stressful situations to think clearly,FALSE,To write or create a work of art especially music or poetry,,,,
OVERREACH,He overreached himself and failed in his ambition,FALSE,To defeat oneself by attempting to do more than is possible,,,,
HUSK,I look for the grain not just the husk,FALSE,The dry outer covering of some fruits or seeds,,,,
MITE,He contributed his mite to the relief fund,FALSE,A very small amount,,,,
PREVENT,Good planning can prevent many potential problems,FALSE,To keep something from happening or arising,,,,
GRACE,He handled the difficult situation with grace and poise,FALSE,Smoothness and elegance of movement,,,,
AIR,The fresh air in the morning energizes me for the day,FALSE,The invisible gaseous substance surrounding the earth,,,,
SHIVER,I can withstand cold and not shiver,FALSE,To shake slightly and uncontrollably as a result of being cold frightened or excited,,,,
MALADY,Poverty is a social malady that needs to be cured,FALSE,A disease or ailment,,,,
DISINTEGRATE,A team without unity will disintegrate quickly,FALSE,To break up into small parts as the result of impact or decay,,,,
DELAY,I plan my work to avoid any unnecessary delays,FALSE,To make someone or something late or slow,,,,
APPROACH,I approach every task with a positive and systematic plan,FALSE,A way of dealing with something,,,,
HAPPY,I feel happy when my team accomplishes its task,FALSE,Feeling or showing pleasure or contentment,,,,
TROUBLE,I am a problem solver not a trouble maker,FALSE,Difficulty or problems,,,,
IMPAIR,I will not let any failure impair my judgment,FALSE,To weaken or damage something,,,,
PSEUDONYM,He wrote under a pseudonym to hide his identity,FALSE,A fictitious name,,,,
LOUNGE,I prefer working to lounging around,FALSE,To lie,or stand in a relaxed or lazy way,,,
STOOP,He had to stoop to enter the small room,FALSE,To bend one's head or body forward and downward,,,,
INSUBORDINATE,I am a disciplined soldier and never insubordinate,FALSE,Defiant of authority; disobedient to orders,,,,
BURDEN,I consider responsibility a privilege not a burden,FALSE,A load typically a heavy one,,,,
DISCARD,I discard old and inefficient methods and adopt new ones,FALSE,To get rid of someone or something as no longer useful or desirable,,,,
PERAMBULATE,He liked to perambulate in the park in the evening,FALSE,To walk or travel through or around a place or area,,,,
STULTIFY,The monotonous job stultified his creativity,FALSE,To cause to lose enthusiasm and initiative,,,,
OBSTRUCT,I will not let anything obstruct my path to success,FALSE,To block an opening street or passage,,,,
MOTHER,My mother taught me the values of love and compassion,FALSE,A woman in relation to her child or children,,,,
COFFIN,A soldier's coffin is draped in the national flag with honor,FALSE,A long narrow box in which a dead body is buried or cremated,,,,
SCRIMMAGE,The two teams had a scrimmage before the final match,FALSE,A confused struggle or fight,,,,
CLARITY,Clarity of thought is essential for effective communication,FALSE,The quality of being coherent and intelligible,,,,
RUMINATE,He ruminated over the problem for a long time,FALSE,To think deeply about something,,,,
MEETING,A meeting is an opportunity for collaborative decision making,FALSE,An assembly of people for a particular purpose,,,,
TASTE,I have a taste for adventure and outdoor activities,FALSE,The sensation of flavor perceived in the mouth and throat on contact with a substance,,,,
PRINCIPLE,I live by the principles of integrity honesty and courage,FALSE,A fundamental truth or proposition that serves as the foundation for a system of belief or behavior,,,,
RUMPLE,His clothes were rumpled as he had slept in them,FALSE,To give a creased,or disheveled appearance to,,,
DISHONEST,I will never be dishonest in my personal or professional life,FALSE,Behaving or prone to behave in an untrustworthy or fraudulent way,,,,
LIMP,He was walking with a limp after the injury,FALSE,To walk with difficulty,,,,
FETID,I work to clean my surroundings and keep them from being fetid,FALSE,Smelling extremely unpleasant,,,,
BATTLE,A battle is won with courage strategy and teamwork,FALSE,A sustained fight between large organized armed forces,,,,
AGGRESSION,I channel my aggression into sports and productive tasks,FALSE,Hostile or violent behavior or attitudes toward another,,,,
ZENITH,I aim to reach the zenith of my professional capabilities,FALSE,The time at which something is most powerful or successful,,,,
HALT,I will not halt until I have achieved my objective,FALSE,To bring or come to an abrupt stop,,,,
ALLERGY,I have no allergy to hard work and challenges,FALSE,A damaging immune response by the body to a substance,,,,
WAKE,I wake up early to plan my day and exercise,FALSE,To emerge or cause to emerge from a state of sleep,,,,
GENEROUS,A generous leader shares credit for success with the team,FALSE,Showing a readiness to give more of something as money or time than is strictly necessary or expected,,,,
PROBE,The police are probing the murder case,FALSE,To physically explore or examine something with the hands or an instrument,,,,
SUPPURATE,The wound started to suppurate,FALSE,To undergo the formation of pus,,,,
FORLORNLY,I work with hope and not forlornly,FALSE,Pitifully sad and abandoned or lonely,,,,
HONESTY,Honesty and integrity are the foundations of my character,FALSE,The quality of being honest,,,,
VOW,I have taken a vow to serve my country selflessly,FALSE,A solemn promise,,,,
SYNTHETIC,He was wearing a synthetic shirt,FALSE,Made by chemical synthesis,,,,
GNAW,I do not let anxiety gnaw at my confidence,FALSE,To bite at or nibble something persistently,,,,
DIMINISH,My enthusiasm for my goal will never diminish,FALSE,To make or become less,,,,
CONTRADICT,My actions will never contradict my words,FALSE,To deny the truth of a statement by asserting the opposite,,,,
IMPERIOUS,I am a humble leader not an imperious one,FALSE,Assuming power or authority without justification,,,,
GRIEF,I share the grief of my comrades and support them,FALSE,Deep sorrow especially that caused by someone's death,,,,
DOZE,I am always alert and never doze off on duty,FALSE,To sleep lightly,,,,
REAL,I am a realistic person and make practical plans,FALSE,Actually existing as a thing or occurring in fact; not imagined or supposed,,,,
SPARE,He had a spare tyre in his car,FALSE,Additional to what is required for ordinary use,,,,
MEND,I believe in mending relationships through communication,FALSE,To repair something that is broken or damaged,,,,
MOCK,I do not mock others for their weaknesses or failures,FALSE,To tease or laugh at in a scornful or contemptuous manner,,,,
DEFAULT,I always fulfill my commitments and never default on them,FALSE,Failure to fulfill an obligation especially to repay a loan or appear in a court of law,,,,
STURDY,He had a sturdy physique,FALSE,Strongly and solidly built,,,,
PERVADE,A feeling of optimism pervaded the team before the match,FALSE,To spread through and be perceived in every part of,,,,
SULTRY,The sultry weather made everyone feel tired,FALSE,Hot and humid,,,,
HOLLOW,A person with strong values is never hollow from inside,FALSE,Having a hole or empty space inside,,,,
FELLOW,I maintain a healthy relationship with my fellow candidates,FALSE,A person in the same position involved in the same activity or otherwise associated with another,,,,
PREPOSTEROUS,His claim that he had seen a ghost was preposterous,FALSE,Contrary to reason or common sense,,,,
DODGE,I can dodge any obstacle and move towards my goal,FALSE,To avoid someone or something by a sudden quick movement,,,,
SNORE,He was snoring loudly in his sleep,FALSE,To make a snorting or grunting sound while asleep,,,,
PEEL,He peeled the banana before eating it,FALSE,To remove the outer covering or skin from a fruit or vegetable,,,,
MALINGER,He was malingering to avoid going to work,FALSE,To pretend to be ill in order to escape duty or work,,,,
KNOT,I can untie the most difficult knots with patience and skill,FALSE,A fastening made by looping a piece of string rope or something similar on itself and tightening it,,,,
FEUD,I believe in resolving feuds and promoting harmony,FALSE,A prolonged and bitter quarrel or dispute,,,,
RADIANT,She looked radiant in her wedding dress,FALSE,Sending out light; shining or glowing brightly,,,,
